instruction,output
A box has 9 rows of markers with 3 in each row. How many markers are there?,Total = 9 × 3 = 27. Answer: 27.
What does conservation of energy mean?,"Energy cannot be created or destroyed, only transformed between forms; total energy in an isolated system remains constant. Answer: energy conserved."
Differentiate speed and velocity briefly.,"Speed is scalar (magnitude only); velocity is vector (magnitude and direction). Example: 10 m/s east is velocity; 10 m/s is speed. Answer: speed=scalar, velocity=vector."
A class has 49 boys and 36 girls. How many students are there in total?,Total = 49 + 36 = 85. Answer: 85.
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
Find the LCM of 25 and 57.,25 = 5 × 5; 57 = 3 × 19. LCM = 1425. Answer: 1425.
Define molar mass.,"Molar mass is the mass of one mole of a substance, in g/mol. Example: H₂O ≈ 18 g/mol. Answer: mass per mole."
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
1978 stickers are shared equally among 43 students. How many does each student get?,Each gets = 1978 ÷ 43 = 46. Answer: 46.
What is a catalyst?,"A catalyst increases reaction rate by lowering activation energy without being consumed. Answer: speeds up reaction, not consumed."
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
Find the GCD of 218 and 176.,"Using the Euclidean algorithm, GCD(218, 176) = 2. Answer: 2."
Explain difference between list and tuple in Python.,"List is mutable; tuple is immutable. Example: lists can append, tuples cannot. Answer: mutability difference."
Define an acid and a base (Arrhenius).,"Arrhenius acid produces H⁺ in water; base produces OH⁻ in water. Example: HCl (acid), NaOH (base). Answer: H⁺ vs OH⁻ producers."
Find the LCM of 99 and 26.,99 = 3 × 3 × 11; 26 = 2 × 13. LCM = 2574. Answer: 2574.
What does a hash map provide on average?,"Average O(1) insert, lookup, and delete via hashing. Answer: O(1) average operations."
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
Convert 7528 m to centimeters.,7528 m × 100 = 752800 cm. Answer: 752800 cm.
Solve for x: 2x + 15 = -2.,2x = -2 - 15 ⇒ x = (-2 - 15)/2 = -8.5. Answer: -8.5.
There were 41 apples in a basket. 25 were eaten. How many remain?,Remaining = 41 - 25 = 16. Answer: 16.
There were 6 apples in a basket. 4 were eaten. How many remain?,Remaining = 6 - 4 = 2. Answer: 2.
What is Big-O time for binary search?,Binary search runs in O(log n) time on a sorted array. Answer: O(log n).
Differentiate speed and velocity briefly.,"Speed is scalar (magnitude only); velocity is vector (magnitude and direction). Example: 10 m/s east is velocity; 10 m/s is speed. Answer: speed=scalar, velocity=vector."
Fix the punctuation: 'Lets eat Grandma',"Let's eat, Grandma. Answer: Let's eat, Grandma."
Summarize in one sentence: 'Photosynthesis is how plants use sunlight to make food...',"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen. Answer: concise summary."
Explain difference between list and tuple in Python.,"List is mutable; tuple is immutable. Example: lists can append, tuples cannot. Answer: mutability difference."
What does a hash map provide on average?,"Average O(1) insert, lookup, and delete via hashing. Answer: O(1) average operations."
Explain refraction in simple words.,Refraction is the bending of light as it passes between media with different optical density due to speed change. Answer: bending due to speed change.
A class has 45 boys and 43 girls. How many students are there in total?,Total = 45 + 43 = 88. Answer: 88.
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
What is a catalyst?,"A catalyst increases reaction rate by lowering activation energy without being consumed. Answer: speeds up reaction, not consumed."
Fix the punctuation: 'Lets eat Grandma',"Let's eat, Grandma. Answer: Let's eat, Grandma."
There were 46 apples in a basket. 37 were eaten. How many remain?,Remaining = 46 - 37 = 9. Answer: 9.
There were 22 apples in a basket. 5 were eaten. How many remain?,Remaining = 22 - 5 = 17. Answer: 17.
Write the prime factorization of 225.,225 = 3 × 3 × 5 × 5. Answer: 3 × 3 × 5 × 5.
What is Big-O time for binary search?,Binary search runs in O(log n) time on a sorted array. Answer: O(log n).
Define an acid and a base (Arrhenius).,"Arrhenius acid produces H⁺ in water; base produces OH⁻ in water. Example: HCl (acid), NaOH (base). Answer: H⁺ vs OH⁻ producers."
What is a catalyst?,"A catalyst increases reaction rate by lowering activation energy without being consumed. Answer: speeds up reaction, not consumed."
Summarize in one sentence: 'Photosynthesis is how plants use sunlight to make food...',"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen. Answer: concise summary."
Rewrite the sentence in active voice: 'The ball was thrown by John.',John threw the ball. Answer: John threw the ball.
Explain difference between list and tuple in Python.,"List is mutable; tuple is immutable. Example: lists can append, tuples cannot. Answer: mutability difference."
Define molar mass.,"Molar mass is the mass of one mole of a substance, in g/mol. Example: H₂O ≈ 18 g/mol. Answer: mass per mole."
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
1131 stickers are shared equally among 39 students. How many does each student get?,Each gets = 1131 ÷ 39 = 29. Answer: 29.
Explain difference between list and tuple in Python.,"List is mutable; tuple is immutable. Example: lists can append, tuples cannot. Answer: mutability difference."
Define molar mass.,"Molar mass is the mass of one mole of a substance, in g/mol. Example: H₂O ≈ 18 g/mol. Answer: mass per mole."
Rewrite the sentence in active voice: 'The ball was thrown by John.',John threw the ball. Answer: John threw the ball.
Find the LCM of 41 and 162.,41 = 41; 162 = 2 × 3 × 3 × 3 × 3. LCM = 6642. Answer: 6642.
What is the law of conservation of mass?,"In a closed system, mass is conserved during a chemical reaction; mass of reactants equals mass of products. Answer: mass conserved."
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
Fix the punctuation: 'Lets eat Grandma',"Let's eat, Grandma. Answer: Let's eat, Grandma."
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
A box has 48 rows of markers with 9 in each row. How many markers are there?,Total = 48 × 9 = 432. Answer: 432.
A box has 23 rows of markers with 9 in each row. How many markers are there?,Total = 23 × 9 = 207. Answer: 207.
Rewrite the sentence in active voice: 'The ball was thrown by John.',John threw the ball. Answer: John threw the ball.
Rewrite the sentence in active voice: 'The ball was thrown by John.',John threw the ball. Answer: John threw the ball.
There were 48 apples in a basket. 18 were eaten. How many remain?,Remaining = 48 - 18 = 30. Answer: 30.
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
There were 42 apples in a basket. 21 were eaten. How many remain?,Remaining = 42 - 21 = 21. Answer: 21.
Define an acid and a base (Arrhenius).,"Arrhenius acid produces H⁺ in water; base produces OH⁻ in water. Example: HCl (acid), NaOH (base). Answer: H⁺ vs OH⁻ producers."
Define molar mass.,"Molar mass is the mass of one mole of a substance, in g/mol. Example: H₂O ≈ 18 g/mol. Answer: mass per mole."
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
Rewrite the sentence in active voice: 'The ball was thrown by John.',John threw the ball. Answer: John threw the ball.
Write the prime factorization of 177.,177 = 3 × 59. Answer: 3 × 59.
Explain Newton's first law with an example.,Newton's first law (law of inertia) states an object remains at rest or moves at constant velocity unless acted on by a net external force. Example: A puck on frictionless ice glides at constant speed. Answer: Law of inertia.
Differentiate speed and velocity briefly.,"Speed is scalar (magnitude only); velocity is vector (magnitude and direction). Example: 10 m/s east is velocity; 10 m/s is speed. Answer: speed=scalar, velocity=vector."
Convert 7963 cm to meters.,7963 cm ÷ 100 = 79.63 m. Answer: 79.63 m.
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
What is a catalyst?,"A catalyst increases reaction rate by lowering activation energy without being consumed. Answer: speeds up reaction, not consumed."
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
Explain what a function does in programming.,A function groups reusable code to perform a task; it can take inputs (parameters) and return outputs. Answer: reusable code block.
Define molar mass.,"Molar mass is the mass of one mole of a substance, in g/mol. Example: H₂O ≈ 18 g/mol. Answer: mass per mole."
A box has 46 rows of markers with 14 in each row. How many markers are there?,Total = 46 × 14 = 644. Answer: 644.
Summarize in one sentence: 'Photosynthesis is how plants use sunlight to make food...',"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen. Answer: concise summary."
750 stickers are shared equally among 25 students. How many does each student get?,Each gets = 750 ÷ 25 = 30. Answer: 30.
Find the GCD of 117 and 34.,"Using the Euclidean algorithm, GCD(117, 34) = 1. Answer: 1."
What is Big-O time for binary search?,Binary search runs in O(log n) time on a sorted array. Answer: O(log n).
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
Find the LCM of 183 and 163.,183 = 3 × 61; 163 = 163. LCM = 29829. Answer: 29829.
Find the GCD of 36 and 18.,"Using the Euclidean algorithm, GCD(36, 18) = 18. Answer: 18."
What is Big-O time for binary search?,Binary search runs in O(log n) time on a sorted array. Answer: O(log n).
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
Explain what a function does in programming.,A function groups reusable code to perform a task; it can take inputs (parameters) and return outputs. Answer: reusable code block.
Define molar mass.,"Molar mass is the mass of one mole of a substance, in g/mol. Example: H₂O ≈ 18 g/mol. Answer: mass per mole."
What is a catalyst?,"A catalyst increases reaction rate by lowering activation energy without being consumed. Answer: speeds up reaction, not consumed."
What is a catalyst?,"A catalyst increases reaction rate by lowering activation energy without being consumed. Answer: speeds up reaction, not consumed."
Rewrite the sentence in active voice: 'The ball was thrown by John.',John threw the ball. Answer: John threw the ball.
Find the LCM of 170 and 112.,170 = 2 × 5 × 17; 112 = 2 × 2 × 2 × 2 × 7. LCM = 9520. Answer: 9520.
Explain what a function does in programming.,A function groups reusable code to perform a task; it can take inputs (parameters) and return outputs. Answer: reusable code block.
Fix the punctuation: 'Lets eat Grandma',"Let's eat, Grandma. Answer: Let's eat, Grandma."
A class has 5 boys and 45 girls. How many students are there in total?,Total = 5 + 45 = 50. Answer: 50.
Solve for x: 12x + 1 = -14.,12x = -14 - 1 ⇒ x = (-14 - 1)/12 = -1.25. Answer: -1.25.
What does conservation of energy mean?,"Energy cannot be created or destroyed, only transformed between forms; total energy in an isolated system remains constant. Answer: energy conserved."
Define molar mass.,"Molar mass is the mass of one mole of a substance, in g/mol. Example: H₂O ≈ 18 g/mol. Answer: mass per mole."
Rewrite the sentence in active voice: 'The ball was thrown by John.',John threw the ball. Answer: John threw the ball.
Rewrite the sentence in active voice: 'The ball was thrown by John.',John threw the ball. Answer: John threw the ball.
Explain what a function does in programming.,A function groups reusable code to perform a task; it can take inputs (parameters) and return outputs. Answer: reusable code block.
Differentiate speed and velocity briefly.,"Speed is scalar (magnitude only); velocity is vector (magnitude and direction). Example: 10 m/s east is velocity; 10 m/s is speed. Answer: speed=scalar, velocity=vector."
Summarize in one sentence: 'Photosynthesis is how plants use sunlight to make food...',"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen. Answer: concise summary."
Find the LCM of 168 and 140.,168 = 2 × 2 × 2 × 3 × 7; 140 = 2 × 2 × 5 × 7. LCM = 840. Answer: 840.
Find the LCM of 194 and 62.,194 = 2 × 97; 62 = 2 × 31. LCM = 6014. Answer: 6014.
What is the law of conservation of mass?,"In a closed system, mass is conserved during a chemical reaction; mass of reactants equals mass of products. Answer: mass conserved."
Fix the punctuation: 'Lets eat Grandma',"Let's eat, Grandma. Answer: Let's eat, Grandma."
What is the law of conservation of mass?,"In a closed system, mass is conserved during a chemical reaction; mass of reactants equals mass of products. Answer: mass conserved."
Find the GCD of 196 and 3.,"Using the Euclidean algorithm, GCD(196, 3) = 1. Answer: 1."
Fix the punctuation: 'Lets eat Grandma',"Let's eat, Grandma. Answer: Let's eat, Grandma."
Fix the punctuation: 'Lets eat Grandma',"Let's eat, Grandma. Answer: Let's eat, Grandma."
Summarize in one sentence: 'Photosynthesis is how plants use sunlight to make food...',"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen. Answer: concise summary."
1628 stickers are shared equally among 37 students. How many does each student get?,Each gets = 1628 ÷ 37 = 44. Answer: 44.
What does conservation of energy mean?,"Energy cannot be created or destroyed, only transformed between forms; total energy in an isolated system remains constant. Answer: energy conserved."
Explain difference between list and tuple in Python.,"List is mutable; tuple is immutable. Example: lists can append, tuples cannot. Answer: mutability difference."
Find 5% of 327.,5% of 327 = (5/100)×327 = 16.35. Answer: 16.35.
A class has 22 boys and 5 girls. How many students are there in total?,Total = 22 + 5 = 27. Answer: 27.
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
Find 12% of 91.,12% of 91 = (12/100)×91 = 10.92. Answer: 10.92.
Find 50% of 84.,50% of 84 = (50/100)×84 = 42.0. Answer: 42.0.
What is the law of conservation of mass?,"In a closed system, mass is conserved during a chemical reaction; mass of reactants equals mass of products. Answer: mass conserved."
Find 40% of 176.,40% of 176 = (40/100)×176 = 70.4. Answer: 70.4.
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
Summarize in one sentence: 'Photosynthesis is how plants use sunlight to make food...',"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen. Answer: concise summary."
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
Explain difference between list and tuple in Python.,"List is mutable; tuple is immutable. Example: lists can append, tuples cannot. Answer: mutability difference."
There were 47 apples in a basket. 22 were eaten. How many remain?,Remaining = 47 - 22 = 25. Answer: 25.
Explain what a function does in programming.,A function groups reusable code to perform a task; it can take inputs (parameters) and return outputs. Answer: reusable code block.
Explain refraction in simple words.,Refraction is the bending of light as it passes between media with different optical density due to speed change. Answer: bending due to speed change.
Fix the punctuation: 'Lets eat Grandma',"Let's eat, Grandma. Answer: Let's eat, Grandma."
Find the LCM of 119 and 161.,119 = 7 × 17; 161 = 7 × 23. LCM = 2737. Answer: 2737.
What was the Renaissance? One sentence.,"A cultural and intellectual revival starting in 14th‑century Italy that emphasized art, science, and humanism. Answer: European cultural revival."
Find 35% of 159.,35% of 159 = (35/100)×159 = 55.65. Answer: 55.65.
Explain difference between list and tuple in Python.,"List is mutable; tuple is immutable. Example: lists can append, tuples cannot. Answer: mutability difference."
What is Big-O time for binary search?,Binary search runs in O(log n) time on a sorted array. Answer: O(log n).
Define an acid and a base (Arrhenius).,"Arrhenius acid produces H⁺ in water; base produces OH⁻ in water. Example: HCl (acid), NaOH (base). Answer: H⁺ vs OH⁻ producers."
Explain difference between list and tuple in Python.,"List is mutable; tuple is immutable. Example: lists can append, tuples cannot. Answer: mutability difference."
Summarize in one sentence: 'Photosynthesis is how plants use sunlight to make food...',"Photosynthesis is the process by which plants convert sunlight, water, and carbon dioxide into glucose and oxygen. Answer: concise summary."
A class has 21 boys and 41 girls. How many students are there in total?,Total = 21 + 41 = 62. Answer: 62.
A class has 37 boys and 21 girls. How many students are there in total?,Total = 37 + 21 = 58. Answer: 58.
Explain refraction in simple words.,Refraction is the bending of light as it passes between media with different optical density due to speed change. Answer: bending due to speed change.
Find the LCM of 192 and 143.,192 = 2 × 2 × 2 × 2 × 2 × 2 × 3; 143 = 11 × 13. LCM = 27456. Answer: 27456.
Explain refraction in simple words.,Refraction is the bending of light as it passes between media with different optical density due to speed change. Answer: bending due to speed change.
Explain difference between list and tuple in Python.,"List is mutable; tuple is immutable. Example: lists can append, tuples cannot. Answer: mutability difference."
A box has 23 rows of markers with 15 in each row. How many markers are there?,Total = 23 × 15 = 345. Answer: 345.
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
What is Big-O time for binary search?,Binary search runs in O(log n) time on a sorted array. Answer: O(log n).
Convert 6940 g to kilograms.,6940 g ÷ 1000 = 6.94 kg. Answer: 6.94 kg.
Find the LCM of 87 and 199.,87 = 3 × 29; 199 = 199. LCM = 17313. Answer: 17313.
Explain refraction in simple words.,Refraction is the bending of light as it passes between media with different optical density due to speed change. Answer: bending due to speed change.
What is a catalyst?,"A catalyst increases reaction rate by lowering activation energy without being consumed. Answer: speeds up reaction, not consumed."
Why is the printing press significant?,"It enabled mass production of books, spreading literacy and ideas rapidly across Europe. Answer: mass knowledge spread."
