"instruction","output"
"What is inheritance in C++?","Inheritance in C++ allows a class to derive from another class, inheriting its properties and methods. Example: class Derived : public Base allows Derived class to access Base class functions."
"Explain virtual functions in C++.","Virtual functions enable polymorphism in C++. They are declared using 'virtual' keyword and allow derived classes to override base class methods. Example: virtual void function2() in base class."
"How do constructors work in inheritance?","In inheritance, base class constructor is called first, then derived class constructor. Example: Base class constructor prints 'In Base Class Constructor' before derived class constructor."
"What is the difference between public and private inheritance?","Public inheritance maintains the access level of base class members. Private inheritance makes all base class members private in derived class. Most common is public inheritance."
"How does polymorphism work with references in C++?","Polymorphism with references allows calling overridden methods. When a derived object is passed as base reference, virtual functions call the derived version. Example: myfunction(Base &b) calling virtual methods."
"What is recursion in C++?","Recursion is when a function calls itself. It needs a base case to stop. Example: factorial function where factorial(n) = n * factorial(n-1), with base case factorial(1) = 1."
"Write a recursive factorial function in C++.","unsigned int factorial(const unsigned int& n){ if(n == 1){ return 1; } return (n * factorial(n-1)); }. This calculates n! recursively."
"How do you measure algorithm running time in C++?","Use clock() function from <time.h>. Measure start time with clock(), run algorithm, measure end time, then calculate difference using CLOCKS_PER_SEC for milliseconds."
"What are pointers in C++?","Pointers store memory addresses of variables. Declared with * operator. Example: int *p = a; where p points to array a. Use * to dereference and access value."
"How are arrays and pointers related in C++?","Array names are pointers to first element. a[i] is equivalent to *(a+i). Pointer arithmetic allows navigation: p+1 points to next element."
"What is dynamic memory allocation in C++?","Dynamic allocation uses 'new' operator to allocate memory at runtime. Example: int* dynarr = new int[5]; Creates array of 5 integers. Must use 'delete[]' to free memory."
"Explain pointer arithmetic in C++.","Pointer arithmetic allows adding/subtracting integers to pointers. p+1 moves pointer to next element. *(p+1) accesses next element's value. Works with array indexing."
"What is a template class in C++?","Template classes allow generic programming. Example: template <class elemType> class ArrayList creates reusable class for any data type. Use ArrayList<int> for integers."
"How do you implement an ArrayList template?","Use template <class elemType> before class. Implement methods outside class with template syntax. Example: template<class elemType> bool ArrayList<elemType>::isEmpty() const"
"What are the time complexities of ArrayList operations?","Insert/remove at position: O(n), Insert/remove at end: O(1), Access by index: O(1), Search: O(n), isEmpty/isFull: O(1)."
"How do you handle exceptions in C++ templates?","Use throw statements for error conditions. Example: throw 'List if full' when inserting into full list. Catch with try-catch blocks in calling code."
"What is a linked list implementation?","Linked list uses nodes with data and next pointer. Supports insertFront(), insertBack(), removeFront(), removeBack(), and print() operations with dynamic sizing."
"How do queues work in simulation programs?","Queues follow FIFO (First In First Out). In customer simulation, customers join queue when arriving, servers serve from front. Use STL queue<customerType> for implementation."
"What is object-oriented design for simulation?","Create classes for entities: customerType (arrival time, wait time), serverType (busy/free status), serverListType (manages multiple servers). Encapsulate data and behavior."
"How do you implement a customer service simulation?","Use customer queue, server list, and time-based loop. Check customer arrival (isCustomerArrived), assign to free servers, update waiting times, generate statistics."
"What are header guards in C++?","Header guards prevent multiple inclusions. Use #ifndef, #define, #endif. Example: #ifndef HELPER_H_, #define HELPER_H_, code, #endif. Prevents redefinition errors."
"How do you fill an array with random numbers?","void fillRandom(int *Array, const unsigned int size){ for(unsigned int i = 0; i < size; i++){ Array[i] = rand(); } }. Use srand() to seed random generator."
"What is the purpose of const in function parameters?","const prevents modification of parameters. Example: const unsigned int& n prevents changing n. Improves performance (no copy) and safety (no accidental changes)."
"How do you read data from text files in C++?","Use ifstream for input. Example: ifstream file('data.txt'); string line; getline(file, line); or file >> variable; Check file.is_open() for successful opening."
"What is the difference between stack and heap memory?","Stack: automatic, fast, limited size, for local variables. Heap: manual (new/delete), slower, larger, for dynamic allocation. Stack variables destroyed automatically."
"How do you implement function overloading in C++?","Define multiple functions with same name but different parameters. Compiler chooses based on arguments. Example: void print(int), void print(string), void print(double)."
"What are access specifiers in C++?","public: accessible everywhere, private: accessible within class only, protected: accessible in class and derived classes. Control encapsulation and data hiding."
"How do you use STL containers effectively?","STL provides vector, list, queue, stack, map. Choose based on needs: vector for random access, list for frequent insertion/deletion, queue for FIFO operations."
"What is the role of destructors in C++?","Destructors clean up resources when object is destroyed. Called automatically. Example: ~ArrayList(){ delete[] myList; } frees dynamically allocated memory."
"How do you handle file I/O exceptions?","Check file operations: if(!file.is_open()) handle error. Use try-catch for exception handling. Always close files: file.close(). Check file states with good(), eof(), fail()."
"What is the difference between pass by value and reference?","Pass by value copies the argument (slower, safe). Pass by reference (&) passes address (faster, can modify original). const reference combines benefits: fast and safe."
"How do you implement a generic swap function?","template<typename T> void swap(T& a, T& b){ T temp = a; a = b; b = temp; }. Works with any type that supports assignment operator."
"What are inline functions in C++?","Inline functions are expanded at call site instead of function call. Use inline keyword. Good for small, frequently called functions. Example: inline int max(int a, int b)."
